accession_number,filename,file_date,file_type,cik,display_name
000117891306001142,zk62656.htm,2006-06-26,10KSB/A,0001069563,DEFENSE INDUSTRIES INTERNATIONAL INC  (CIK 0001069563)
000117891306001197,zk62583.htm,2006-06-29,20-F,0001045986,FORMULA SYSTEMS (1985) LTD  (FORTY)  (CIK 0001045986)
000117891306001199,d62573.htm,2006-06-29,20-F,0001086434,AUDIOCODES LTD  (AUDC)  (CIK 0001086434)
000104746906008250,a2169312zs-4.htm,2006-06-09,S-4,0001312073,"VeriFone Holdings, Inc.  (CIK 0001312073)"
000117891306001033,zk62609.htm,2006-06-08,POS AM,0001069563,DEFENSE INDUSTRIES INTERNATIONAL INC  (CIK 0001069563)
000117891306001201,zk62576.htm,2006-06-29,20-F,0001109138,CAMTEK LTD  (CAMT)  (CIK 0001109138)
000117891306001144,zk62658.htm,2006-06-26,POS AM,0001069563,DEFENSE INDUSTRIES INTERNATIONAL INC  (CIK 0001069563)
000117891306001065,zk62594.htm,2006-06-13,20-F,0000916793,SILICOM LTD  (SILC)  (CIK 0000916793)
000117891306001207,zk62578.htm,2006-06-29,20-F,0001008595,CIMATRON LTD  (CIK 0001008595)
000111908306000015,mind20f.htm,2006-06-29,20-F/A,0001119083,MIND CTI LTD  (MNDO)  (CIK 0001119083)
000111908306000012,mind20f.htm,2006-06-29,20-F,0001119083,MIND CTI LTD  (MNDO)  (CIK 0001119083)
000111908306000014,mind20f.htm,2006-06-29,20-F,0001119083,MIND CTI LTD  (MNDO)  (CIK 0001119083)
000114420406027043,v046556_20f.htm,2006-06-30,20-F,0001054836,FUNDTECH LTD  (CIK 0001054836)
000117891306001153,zk62590.htm,2006-06-27,20-F,0000920532,Pointer Telocation Ltd  (CIK 0000920532)
000095011706002792,a42262.htm,2006-06-28,20-F,0000911364,ALADDIN KNOWLEDGE SYSTEMS LTD  (CIK 0000911364)
000117891306001209,zk62591.htm,2006-06-29,20-F,0000885740,SAPIENS INTERNATIONAL CORP N V  (SPNS)  (CIK 0000885740)
000117891306001189,zk62581.htm,2006-06-29,20-F,0001011664,ELBIT VISION SYSTEMS LTD  (CIK 0001011664)
000119312506140525,d20f.htm,2006-06-30,20-F,0001119744,VIRYANET LTD  (CIK 0001119744)
000114420406026044,v045996s1a.htm,2006-06-26,S-1/A,0001109925,WINTEGRA INC  (CIK 0001109925)
000095012306008462,y22713e20vf.txt,2006-06-30,20-F,0001027662,ELBIT MEDICAL IMAGING LTD  (CIK 0001027662)
000114420406024337,v044649s1a.htm,2006-06-09,S-1/A,0001109925,WINTEGRA INC  (CIK 0001109925)
000114420406026285,v046295s1a.htm,2006-06-27,S-1/A,0001109925,WINTEGRA INC  (CIK 0001109925)
000119312506152803,filename1.htm,2006-07-25,CORRESP,0000883980,FIRST DATA CORP  (CIK 0000883980)
000000000006033594,filename1.txt,2006-07-19,LETTER,0000883980,FIRST DATA CORP  (CIK 0000883980)
000104746906009720,a2171850zs-4a.htm,2006-07-18,S-4/A,0001312073,"VeriFone Holdings, Inc.  (CIK 0001312073)"
000113131206000095,sb2dft33.htm,2006-07-27,SB-2/A,0001131312,"ZION OIL & GAS INC  (ZNOG, ZNOGW)  (CIK 0001131312)"
000117891306001272,zk62705.htm,2006-07-11,424B1,0001069563,DEFENSE INDUSTRIES INTERNATIONAL INC  (CIK 0001069563)
000117891306001305,zk62721.htm,2006-07-17,20-F,0000896494,MAGAL SECURITY SYSTEMS LTD  (CIK 0000896494)
000117891306001309,zk62718.htm,2006-07-17,20-F,0000895361,M-SYSTEMS FLASH DISK PIONEERS LTD  (CIK 0000895361)
000114420406029460,v048088_s1.htm,2006-07-24,S-1/A,0000916529,AROTECH CORP  (CIK 0000916529)
000117891306001294,zk62579.htm,2006-07-13,20-F,0000770320,CROW TECHNOLOGIES 1977 LTD  (CIK 0000770320)
000117891306001376,zk62383.htm,2006-07-25,20-F,0001064060,RETALIX LTD  (CIK 0001064060)
000114420406030005,v048256s4.htm,2006-07-28,S-4,0001319644,Israel Technology Acquisition Corp.  (CIK 0001319644)
000090901206000827,t302705.txt,2006-08-03,N-CSRS,0000745338,OCM MUTUAL FUND  (CIK 0000745338)
000117891306001549,zk62839.txt,2006-08-16,S-8,0001027662,ELBIT MEDICAL IMAGING LTD  (CIK 0001027662)
000114420406031711,v049185_10q.htm,2006-08-09,10-Q,0001102993,LIVEPERSON INC  (LPSN)  (CIK 0001102993)
000114420406030762,v048773_s3.htm,2006-08-02,S-3,0001102993,LIVEPERSON INC  (LPSN)  (CIK 0001102993)
000083791906000012,ef10qfinal8-14.txt,2006-08-14,10-Q,0000837919,EVEREST FUND L P  (CIK 0000837919)
000091652906000064,arotech10q-2006q2.htm,2006-08-14,10-Q,0000916529,AROTECH CORP  (CIK 0000916529)
000092242306001161,kl08074_ex99-2.htm,2006-08-31,EX-99.2,0001027662,ELBIT MEDICAL IMAGING LTD  (CIK 0001027662)
000095013606007056,file2.htm,2006-08-23,EX-99.1,0001270484,LIPMAN ELECTRONIC ENGINEERING LTD  (CIK 0001270484)
000104746906010544,a2171850zs-4a.htm,2006-08-08,S-4/A,0001312073,"VeriFone Holdings, Inc.  (CIK 0001312073)"
000095013406015490,f22445e10vq.htm,2006-08-09,10-Q,0000851310,HARMONIC INC  (HLIT)  (CIK 0000851310)
000092242306001161,kl08074_ex99-1.htm,2006-08-31,EX-99.1,0001027662,ELBIT MEDICAL IMAGING LTD  (CIK 0001027662)
000113131206000097,sb2amdt5.htm,2006-08-18,SB-2/A,0001131312,"ZION OIL & GAS INC  (ZNOG, ZNOGW)  (CIK 0001131312)"
000114420406036229,v050846s1a.htm,2006-08-29,S-1/A,0001349318,Fortissimo Acquisition Corp.  (CIK 0001349318)
000114420406031360,v048988s1a.htm,2006-08-07,S-1/A,0001349318,Fortissimo Acquisition Corp.  (CIK 0001349318)
000114420406035916,v051537_424b1.htm,2006-08-28,424B1,0000916529,AROTECH CORP  (CIK 0000916529)
